Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDE21,1956.0570310195687,OUT013
NCM42,1659.5362797554237,OUT035
FDY59,228.54724965045807,OUT010
DRI49,1302.2372629833287,OUT049
FDT28,366.5127701666652,OUT019
FDQ22,607.6217105510381,OUT018
FDR60,1259.8476288432341,OUT049
FDC50,235.78285625546044,OUT019
FDV24,2406.887274495643,OUT013
DRF48,492.1554389634774,OUT010
FDQ47,633.3854497139672,OUT046
DRN36,1537.7480297051156,OUT049
NCY06,2015.4936257198285,OUT035
FDE52,1381.7345175093685,OUT035
NCB54,2006.8976374552954,OUT045
NCF31,2488.734127427787,OUT035
FDJ08,5140.112357531342,OUT027
NCC07,1646.2932334925215,OUT017
NCD19,1267.7366884120179,OUT027
FDL46,2008.5146208337578,OUT049
FDM20,3994.6612537166493,OUT045
NCI06,443.81602419871,OUT010
DRM11,4200.345548582894,OUT035
NCH07,2493.681832912255,OUT018
FDS23,2032.8388252115355,OUT013
FDO49,764.5249398283175,OUT018
FDS35,1062.3267299017057,OUT049
DRK39,1341.2669419577987,OUT045
DRI39,909.9247063089732,OUT049
FDV04,2521.3421294149016,OUT017
NCN14,3061.896647945551,OUT035
FDH08,3800.847615762904,OUT013
FDS20,3134.642900764074,OUT046
FDV40,1148.0426374670076,OUT049
FDZ48,257.5860051288313,OUT010
FDS24,2558.6057307013825,OUT027
FDK44,2848.582730770265,OUT049
FDS48,2503.9047456644685,OUT045
FDK26,493.02748350147436,OUT010
FDD23,3100.0698723002133,OUT045
NCH54,2591.3680761668697,OUT017
NCP14,242.15775315767567,OUT010
FDM60,130.3991618939173,OUT010
FDV24,2443.802609287071,OUT017
FDH08,3561.583876346729,OUT018
FDS12,3001.2899303734057,OUT027
FDR39,4797.010827794491,OUT027
FDP12,1015.7304695007405,OUT027
DRF60,5858.572564267698,OUT027
FDC09,1647.6501864221389,OUT035
FDF50,3002.929028213394,OUT018
FDG28,3993.7053845337346,OUT035
NCE19,866.6559230235638,OUT017
NCM53,251.0514810091224,OUT010
NCN18,1728.753162610821,OUT049
FDF32,3110.5254405401192,OUT035
FDF11,3841.3550772368217,OUT013
DRI59,3753.4248278633504,OUT049
NCG54,2793.7296312884855,OUT035
FDM44,1640.659215255526,OUT046
FDT57,3575.087280897709,OUT018
FDV24,2451.573101738321,OUT046
FDI50,572.2120578439406,OUT019
FDS09,774.5643615772993,OUT035
NCC31,4091.5240292572594,OUT027
FDQ07,572.7362237173375,OUT019
FDC22,3116.7698615476147,OUT017
FDZ56,2799.4694098565724,OUT046
FDZ40,130.3991618939173,OUT019
FDS46,2944.0572139744545,OUT027
DRD24,2068.234269704193,OUT045
FDV45,3091.1603501552295,OUT017
FDL26,2518.9082949666317,OUT045
FDA56,2003.0698856012853,OUT018
FDN27,1953.7158410569436,OUT046
FDM20,3945.762537071075,OUT049
FDO16,1339.128427618296,OUT017
FDL03,3011.8279631686205,OUT035
FDE58,1937.8445695897253,OUT046
FDI02,2929.9700504225502,OUT027
NCC55,130.3991618939173,OUT019
FDR03,3226.374121329832,OUT018
FDB14,1447.915573026295,OUT017
FDR45,3850.433602502184,OUT013
NCN07,2042.9225813490223,OUT017
FDM51,247.4709181971839,OUT019
FDT52,5859.941507890135,OUT027
FDL26,2507.7268587269905,OUT046
NCZ42,3874.415687648436,OUT046
DRI47,366.36815932869695,OUT019
FDW40,2073.2212279098594,OUT013
FDN34,2822.503002362483,OUT046
FDS01,2937.562158483073,OUT035
NCG55,1912.209987021779,OUT045
FDC11,1353.6519521541568,OUT035
FDX35,3489.831525218062,OUT018
NCB06,2582.5638868363694,OUT046
FDR09,572.7247607037827,OUT019
FDC53,1541.0558087446807,OUT017
FDY45,3991.0555458889103,OUT013
FDA22,385.72633708328647,OUT010
FDE02,1520.7606734805433,OUT035
FDW21,1636.7255331330857,OUT045
FDV34,1182.5593030429375,OUT046
FDS59,1653.9360332217316,OUT049
NCW17,2061.708337674051,OUT017
NCK54,1947.6917270081653,OUT046
FDG17,572.2120578439406,OUT019
FDG35,2883.7056069824544,OUT017
FDD08,130.3991618939173,OUT010
NCO07,3695.456012981642,OUT017
FDJ10,279.47322996512713,OUT010
FDW36,1646.4833237968448,OUT017
FDW21,240.40761675655648,OUT010
FDY19,1915.7837477078428,OUT017
DRE03,820.1806736216369,OUT013
NCC55,637.0573342906812,OUT049
FDH52,134.9324792757722,OUT010
FDO09,3985.995874867275,OUT017
FDU43,3957.1063358722276,OUT045
FDX09,419.89828291396896,OUT010
FDH40,201.26763320717865,OUT019
FDW58,1645.5967869585095,OUT017
FDC47,3742.048471722161,OUT017
NCR41,1501.5453052163139,OUT035
DRG49,3898.9638930510623,OUT035
FDC52,4073.1188294442727,OUT027
FDY13,1198.2943665860223,OUT046
FDY35,711.7392848237029,OUT013
FDI35,3115.3490160913484,OUT017
NCU18,2087.1743527473072,OUT049
FDY33,2506.545332142256,OUT018
FDC15,4193.626796146942,OUT027
FDU01,3053.0907981835153,OUT049
NCU42,2802.006197402308,OUT046
NCV29,2809.2060465276663,OUT018
NCY30,3041.617136548543,OUT017
FDQ46,1736.4903533590293,OUT049
FDG58,4089.9632824362743,OUT027
FDK33,3692.281387728638,OUT017
NCD07,1895.952782276528,OUT045
NCX29,4039.335928769117,OUT027
NCT42,2413.5080075491283,OUT013
DRN59,756.954506954652,OUT035
FDI44,1269.3542710841389,OUT035
FDA45,2872.829597507001,OUT049
FDP31,1056.8008381491672,OUT045
FDY01,1929.9825155148776,OUT046
FDT09,2043.4256396790383,OUT018
DRH03,2817.978000393024,OUT027
FDA36,3010.8712271043128,OUT018
NCF31,2466.302074292303,OUT017
FDG14,2456.689758957509,OUT049
FDG28,5859.941507890135,OUT027
FDU14,4115.391954118419,OUT049
FDY47,283.09710045198494,OUT019
FDI56,1376.609853996743,OUT049
DRD01,1001.9375449051673,OUT013
FDM22,949.2885523638023,OUT046
FDH33,708.3812534763257,OUT013
DRZ24,1928.4735421251532,OUT013
NCQ38,1647.9425670182263,OUT046
FDO16,2347.5606433431603,OUT027
FDU07,4059.7278390742576,OUT027
NCB07,3001.794365844385,OUT013
FDU48,2027.1620493584844,OUT045
NCM43,2654.4206703150735,OUT045
FDR31,364.58876992830056,OUT010
DRK49,609.6736996329255,OUT018
NCI30,573.0538778081977,OUT010
DRD60,3081.319029929282,OUT017
NCG19,3746.8736427242943,OUT046
FDH12,1647.5693046431861,OUT035
FDM32,1439.997988304641,OUT035
FDM27,2550.3770693792944,OUT035
NCU53,4268.598081156964,OUT027
NCQ18,1564.137217470313,OUT046
FDS10,2933.218569754558,OUT013
FDB33,4193.626796146942,OUT027
FDI12,1421.0514258649152,OUT013
NCW42,3653.85009185018,OUT013
NCC06,2023.0939947053778,OUT018
FDW02,2013.1102611135157,OUT017
NCD43,1647.374718192528,OUT017
FDM57,1352.6709003733376,OUT018
FDA58,3776.015336814542,OUT017
FDK56,3126.451347796303,OUT046
FDP52,3898.6288733147917,OUT045
FDW20,2008.7639817311895,OUT018
FDS52,1611.059390123313,OUT049
NCT29,1942.9118835898946,OUT018
NCL54,2871.877736670631,OUT013
FDC05,3066.6102097385306,OUT045
FDF34,3088.020079151374,OUT035
FDP03,2992.3424126867994,OUT027
FDD32,194.46662954466353,OUT010
FDZ10,2061.9744535070217,OUT045
FDZ40,864.9627591559239,OUT035
FDD51,618.7019162290298,OUT018
NCY30,424.43171901785894,OUT019
FDP58,3647.2079585264582,OUT017
FDV49,4222.212670676881,OUT017
FDY24,130.3991618939173,OUT019
NCO55,1652.2611601633396,OUT017
FDR13,1913.6027369923645,OUT017
FDS51,1010.9846135243871,OUT017
FDP26,1646.8639750877448,OUT045
NCB54,3003.0054718185784,OUT027
FDF32,3049.6180252803065,OUT017
FDN31,3007.5615191652164,OUT018
DRM48,594.302701818481,OUT017
FDN20,2783.353053905464,OUT049
DRL01,3826.9966175388895,OUT046
FDV56,1647.4466364055054,OUT049
DRH13,2886.354384728994,OUT027
FDA03,2490.6803770799584,OUT017
FDF47,5858.572564267698,OUT027
FDX32,2518.231313428576,OUT046
FDX57,1533.9437577964768,OUT049
NCA30,3008.1779432162775,OUT045
FDO49,820.5538397560558,OUT013
FDL04,248.40824479606346,OUT019
DRM48,599.2679749467266,OUT035
FDR16,3558.404091163952,OUT013
NCC19,3011.128038719635,OUT018
NCE42,3877.043315509655,OUT045
FDY24,865.0156978032835,OUT017
FDH19,2849.810017700729,OUT049
FDJ46,2863.853321987864,OUT013
FDN45,573.2651724414413,OUT010
FDY08,2036.4707342152076,OUT035
FDZ37,1363.3683213637355,OUT035
NCT30,762.8708682438992,OUT045
DRY23,613.326885350363,OUT018
NCZ30,1995.6385428821043,OUT018
FDC44,1845.64397596551,OUT018
FDB45,1645.380890124286,OUT035
FDY04,2556.6752165234598,OUT013
FDM27,2603.9782464292934,OUT046
FDZ43,3956.0428019372775,OUT017
FDT39,367.0434742004189,OUT019
NCC06,282.5619056535813,OUT019
FDL15,4089.9632824362743,OUT027
FDL57,4025.413742380331,OUT017
FDU08,1557.3253847695628,OUT046
FDK40,4220.134845630443,OUT017
FDQ12,572.5184746885859,OUT010
FDS48,2493.1709988301113,OUT017
FDP09,3678.7814166734174,OUT045
FDW21,1559.9581223815392,OUT049
FDY25,3078.583522498133,OUT035
DRE13,1357.8766157174896,OUT017
FDV43,130.3991618939173,OUT019
FDD22,1735.548814151273,OUT045
FDM46,235.54116599568326,OUT019
NCO30,479.1633008459683,OUT010
FDM25,2856.2170270740808,OUT046
NCN41,2025.0236885941983,OUT049
FDU24,1453.8324040315915,OUT045
FDZ50,3139.3976058111166,OUT046
FDP45,3956.5103138008208,OUT013
NCM54,2010.6820730551867,OUT045
FDW10,418.82835634034154,OUT019
FDP20,2018.0608733494805,OUT017
FDK32,2516.3772472239248,OUT046
FDN52,1359.9824131012194,OUT049
FDM58,1730.553975963332,OUT045
FDZ46,2920.9594672087073,OUT027
NCA18,1860.0210929723899,OUT018
FDD35,2073.831165960807,OUT046
NCK31,762.3549865296893,OUT035
FDI40,2858.1287229165914,OUT027
FDT50,236.5613734782491,OUT019
NCT06,2612.2036696774994,OUT046
FDT31,3021.4319637483545,OUT035
FDT45,871.38432518456,OUT049
FDT13,3086.0675856087946,OUT045
FDO50,1382.2391731746284,OUT045
NCU18,278.8624319923957,OUT010
NCR54,3078.783831190402,OUT049
NCO18,2817.1774818679773,OUT018
FDU09,866.9212957163172,OUT045
FDT13,3008.871805285377,OUT018
FDE09,1755.1468157163426,OUT046
NCK53,247.4709181971839,OUT019
FDG45,3660.305076420884,OUT049
DRH15,667.4448929183599,OUT035
FDO21,572.4345897233993,OUT019
FDD14,5107.985717965585,OUT027
FDC09,1648.38361901395,OUT046
FDH45,1025.3550638426777,OUT027
FDV32,1103.8530573257885,OUT046
FDG12,1984.0114247876681,OUT035
FDS32,2072.126576289372,OUT013
NCL55,3694.635292520505,OUT018
DRE01,3824.8871983451886,OUT035
DRE15,1274.3394086859469,OUT049
NCL42,3910.2705185558198,OUT045
FDP31,1201.3485227790504,OUT013
FDN33,1442.4237818909758,OUT018
FDZ59,2555.0429766155517,OUT046
FDE45,424.539435198646,OUT010
FDJ07,1975.0635864729372,OUT013
FDQ45,3032.6386174747354,OUT018
FDM33,5858.572564267698,OUT027
FDO15,151.14888299359262,OUT010
FDM46,1466.301233507947,OUT013
FDR03,3419.9186222542894,OUT045
FDY49,2652.2882962394337,OUT018
FDQ60,1927.328505288909,OUT045
FDW10,2885.867391370006,OUT049
FDO51,673.6419422754916,OUT049
FDJ40,1639.1431320700885,OUT018
FDS20,3021.471272132962,OUT018
FDU45,1816.89013203114,OUT013
FDV02,2783.4992609650403,OUT035
FDN09,3890.21783010255,OUT046
NCM55,5115.3366673675255,OUT027
FDN23,2371.2266104643936,OUT018
FDY31,366.34273818838886,OUT010
FDW03,242.1955669436966,OUT010
FDD14,3070.449916752832,OUT046
FDV23,2001.7451353494994,OUT017
DRI03,2874.93370197436,OUT045
FDN13,1562.346150569244,OUT035
FDF45,1330.0104016436449,OUT027
FDU46,1368.1651666772568,OUT035
FDB57,3735.0027764044103,OUT049
FDV12,1559.8000784689625,OUT049
FDQ58,2422.107763031036,OUT013
NCA18,1895.6866664435574,OUT017
FDH52,982.2312639674736,OUT049
FDM24,2373.1502749628376,OUT018
NCP43,4800.919594479288,OUT027
NCO18,421.844572861706,OUT019
FDM32,1385.0469846863,OUT017
NCL07,599.171397027351,OUT017
FDK03,4135.030306999357,OUT013
FDP59,1644.917227313466,OUT017
FDQ24,4121.532210190512,OUT049
FDQ16,1637.4269370611612,OUT018
FDU44,2537.7279743644285,OUT013
FDH28,130.3991618939173,OUT010
FDV28,130.3991618939173,OUT019
FDM22,884.835752713884,OUT045
FDR56,3087.4975858335174,OUT046
FDV39,3081.157924290824,OUT049
FDU37,171.57481441217996,OUT019
FDQ11,572.7524695815991,OUT010
FDX02,3792.3337919028545,OUT045
NCS42,1439.5549340807734,OUT018
FDY57,2817.978000393024,OUT027
FDB21,3842.2911519571558,OUT049
FDE28,3797.0087848704284,OUT017
FDQ55,1926.982882028231,OUT017
FDA48,3654.625375130699,OUT049
FDZ19,2843.5431953437765,OUT045
NCC43,3908.205999580669,OUT045
NCV18,1353.7200319385909,OUT046
NCA42,2470.5145219981696,OUT018
FDY45,4002.1172082640837,OUT046
NCC30,2946.012659331863,OUT045
FDM57,1430.1835321407132,OUT013
FDL09,385.5699254661162,OUT010
FDB09,2992.3424126867994,OUT027
FDT44,1937.1482583047907,OUT035
NCT06,4265.251842721564,OUT027
FDX26,3126.2652521805608,OUT049
FDK32,2468.945715995564,OUT013
DRA12,2125.3940680809983,OUT046
FDO46,492.6994932205805,OUT010
FDE52,1424.2070154227206,OUT013
NCH42,3847.3620779673033,OUT045
FDV08,619.0023004892804,OUT035
FDB47,3376.921154539789,OUT018
FDC28,257.5860051288313,OUT010
FDD22,1913.9934306589425,OUT046
FDS07,2934.1960403074627,OUT027
DRI13,3697.102540359418,OUT045
FDG32,3448.3871530969145,OUT018
FDU14,4138.7468329932335,OUT017
FDD28,131.1843703189501,OUT019
NCP41,1656.3220203071025,OUT017
FDS08,2859.018287497086,OUT049
FDX47,2517.3260017738194,OUT045
FDC53,246.81216799384347,OUT019
FDQ19,3994.2338160023746,OUT035
FDL14,2468.8846093556776,OUT045
FDM33,572.9587555967961,OUT019
FDA51,1877.2913394158788,OUT045
FDZ27,764.2000050745157,OUT018
FDT04,649.7752048155191,OUT046
DRC13,2038.4733324587123,OUT049
FDR16,5858.572564267698,OUT027
FDQ03,5858.572564267698,OUT027
FDE38,2720.0927683177565,OUT035
DRH23,1279.3517844132157,OUT027
FDT11,491.90618169688724,OUT019
FDD09,3013.0807447018788,OUT035
FDR40,1339.8114576535309,OUT045
FDX07,3042.474165892525,OUT017
FDR07,1541.023209224654,OUT035
FDA51,1880.6549714703651,OUT017
FDT59,571.9780629509273,OUT019
FDF20,3066.5761621512497,OUT017
FDR13,1909.7702304420268,OUT045
FDY26,3665.9542197618393,OUT049
FDW04,2022.9747287292037,OUT017
FDK52,3771.7842850170728,OUT017
FDN60,2546.605306628892,OUT049
FDM09,408.0894628645406,OUT019
FDP46,1353.4282258813064,OUT049
FDB50,170.89197657004087,OUT019
NCQ29,4058.3053799901086,OUT049
FDP16,5859.941507890135,OUT027
FDX33,2482.8751765871007,OUT018
FDP07,510.7281886188321,OUT010
FDN22,3887.0318033793196,OUT046
FDF39,4202.521881583565,OUT049
FDS21,976.1605266582952,OUT017
NCM42,1651.8816766055777,OUT013
FDK50,383.5555149242267,OUT019
DRF13,4055.6304321000625,OUT027
FDH35,2516.684854964129,OUT018
FDP60,1550.546742044533,OUT018
DRJ49,3003.0054718185784,OUT027
NCT42,366.4020133245724,OUT019
FDE38,2698.5647564141877,OUT049
FDI04,3105.957870747124,OUT049
NCH54,2580.913752380696,OUT045
FDT56,918.6666955950922,OUT049
DRD15,3560.920046190018,OUT018
FDV58,3013.639075675503,OUT013
FDP21,3149.9771907179284,OUT049
FDH05,3721.301388407708,OUT013
FDR10,4248.608996302363,OUT027
NCP06,2508.757570539703,OUT045
FDF33,1647.6788346045073,OUT049
DRK37,3097.4810777581897,OUT013
DRH49,1323.9191050127683,OUT045
FDT58,2678.996064615841,OUT013
FDD41,1633.4489623498964,OUT018
FDP40,1692.7065364316916,OUT018
FDM51,2858.1287229165914,OUT027
FDO45,199.4679364036467,OUT010
FDW33,242.15775315767567,OUT010
FDY24,865.261762546398,OUT045
FDB10,573.2651724414413,OUT010
FDM40,2058.3913753476004,OUT035
NCI06,3058.76535644477,OUT017
FDW12,338.54760324646094,OUT019
FDX48,4092.963975582652,OUT027
NCW05,2881.8777237315985,OUT027
FDX27,1515.1573946953697,OUT017
DRM37,3083.1182729003654,OUT045
FDA38,3980.6263195185657,OUT045
FDR36,650.1842252152004,OUT046
FDZ45,3136.5081253083326,OUT046
FDG05,2536.5504054549683,OUT017
FDK28,4229.272066528874,OUT013
FDV47,1345.7272239193287,OUT045
FDN21,2592.1864755357906,OUT045
FDP20,3001.2899303734057,OUT027
FDI35,3100.5649640805677,OUT045
DRY23,709.1635367033924,OUT013
FDA56,2038.6619622605301,OUT017
FDB09,2012.0921593319224,OUT013
NCO26,2940.6097182753347,OUT027
FDQ49,2442.7275372202075,OUT018
FDI52,2987.4247377666247,OUT027
FDZ44,2940.6097182753347,OUT027
FDZ09,2525.2273569552062,OUT018
FDY03,1905.69237052376,OUT049
NCG42,2042.4985158772643,OUT017
DRI13,5859.941507890135,OUT027
FDQ32,2027.9829963253178,OUT013
FDW16,1382.7556177574095,OUT035
FDU27,782.3216357202664,OUT046
FDR28,383.9229015882453,OUT010
FDQ49,381.8114295117288,OUT010
FDS37,1940.27860706438,OUT046
FDW26,3447.9556041301958,OUT018
FDX12,3679.030982932981,OUT018
NCP06,2460.952626416403,OUT013
FDW45,366.2761119035381,OUT010
NCN30,1497.545955068962,OUT049
FDN24,873.6576158028139,OUT049
NCL41,1016.2558407570048,OUT027
FDR02,260.9860838843797,OUT019
FDD09,443.99106694247564,OUT010
FDS33,200.17331148059685,OUT010
FDU22,1976.372295985074,OUT045
FDI53,2513.149366059027,OUT013
DRH01,2869.4264610706823,OUT049
FDX32,2100.43241774466,OUT013
NCP30,607.6217105510381,OUT018
FDB60,3060.7952998829833,OUT045
FDB14,1446.0251824321306,OUT049
NCP02,866.8663927450115,OUT035
FDJ10,2029.1112044061745,OUT017
FDG34,1729.6450792620024,OUT046
NCB18,1355.1426594829688,OUT017
FDM16,1143.202574103221,OUT049
FDW25,1345.0457035824331,OUT018
FDB35,223.39796522490477,OUT010
DRN11,2108.267462616777,OUT013
FDF41,572.5022288243241,OUT019
FDH16,1370.1737444667344,OUT045
NCQ50,3405.8034530171926,OUT018
DRH23,918.1630638742834,OUT018
DRJ37,2436.3991754847693,OUT013
DRJ24,5107.985717965585,OUT027
FDY16,3062.249951331785,OUT035
FDQ27,1649.7138388205747,OUT045
FDZ33,2484.0263640130115,OUT045
FDF29,2075.5930129788217,OUT045
FDA08,2574.460165813851,OUT049
FDG31,1114.7682103019135,OUT046
FDE34,464.33401492962616,OUT019
NCR30,1472.5505673550622,OUT027
FDV33,4065.760711995082,OUT035
DRZ24,1990.8453566112505,OUT018
NCL54,2876.9599461130874,OUT035
FDR12,2878.676163285607,OUT049
NCC54,3861.4803446842598,OUT046
DRN59,815.3601268418848,OUT013
FDX50,261.9274478306363,OUT019
FDV31,4744.434515475447,OUT027
NCA29,4405.1412130452145,OUT027
FDW60,2909.2445762916154,OUT049
FDX08,3105.59966835207,OUT017
DRD49,3717.3197251892393,OUT013
FDD33,3745.7494307281067,OUT046
FDW35,707.3632598377125,OUT013
FDJ36,1646.1588835748476,OUT017
FDV51,2703.3795262550066,OUT035
FDW36,1651.7921832793968,OUT046
FDH35,2600.307568594768,OUT046
NCS30,3003.0054718185784,OUT027
FDN49,602.6977289248533,OUT017
FDL08,3667.9864743342264,OUT018
FDI09,3748.3903870124286,OUT013
FDP19,1987.6831249221577,OUT018
FDU21,130.3991618939173,OUT010
NCP41,1651.3268025610193,OUT045
FDY10,1824.4517897166788,OUT013
FDP12,592.082662704778,OUT018
NCN26,1938.4104024658425,OUT049
FDK44,2833.2270628081783,OUT013
FDC28,1653.0953954000784,OUT049
FDJ41,5859.941507890135,OUT027
NCT29,1996.9903398772872,OUT035
NCH42,572.200594830386,OUT019
FDU60,2615.831642098153,OUT018
FDS02,3083.5882273796933,OUT045
FDC51,2077.1229502601554,OUT046
FDU03,3042.922417562879,OUT013
FDX39,3687.692661759005,OUT045
NCY05,130.3991618939173,OUT010
NCL06,5858.572564267698,OUT027
FDD32,1275.6202957234532,OUT035
NCN41,1997.0578911818707,OUT045
NCX53,2136.1952966614954,OUT049
FDU57,365.95852891674576,OUT019
FDQ23,1648.7106849428067,OUT046
FDQ52,4070.4759549321134,OUT045
FDC14,624.3912604182967,OUT045
FDY09,2931.519884699179,OUT035
FDQ28,2534.1157901319048,OUT045
FDV25,3752.867159516054,OUT046
FDJ07,1938.8385877008461,OUT035
DRB25,1644.6963032700194,OUT049
FDK52,572.5022288243241,OUT019
FDY52,1402.3812701002032,OUT027
FDB28,3102.551379430939,OUT046
FDT36,598.7885412293374,OUT035
FDV25,3797.6764980194052,OUT017
NCN07,3003.0054718185784,OUT027
FDC57,3023.3124727573345,OUT017
FDQ03,3523.540929522311,OUT018
FDU23,2751.878270979105,OUT017
NCX41,3704.354562792858,OUT035
NCD06,762.5276935905074,OUT035
FDW08,1651.0841354312506,OUT045
NCU29,2451.5553387654113,OUT017
NCE06,2489.6379055069337,OUT013
FDV52,269.46453667938823,OUT010
FDB02,2899.3106123388393,OUT017
NCR18,631.1837540809295,OUT045
FDK16,1496.327893569779,OUT049
NCQ29,573.2651724414413,OUT010
FDZ01,248.0645602715206,OUT019
FDW27,2539.043978063199,OUT035
FDD17,3633.2784063660115,OUT018
FDW39,2875.1702215567198,OUT013
DRH59,1109.8957115777553,OUT045
FDS52,1637.7312134394351,OUT013
FDU40,5749.19712922707,OUT027
NCF54,2829.718521584231,OUT013
FDH46,1649.7138388205747,OUT045
NCP14,1643.9623867430662,OUT049
FDH50,3123.0765429003877,OUT049
DRF15,369.55447531774865,OUT010
FDV27,2558.3548721680163,OUT027
NCJ06,2028.4816689689815,OUT049
FDN02,3215.4503317335284,OUT018
FDQ51,771.5476417040245,OUT049
FDQ07,3730.7094200846864,OUT017
FDS45,1644.7078119983078,OUT049
NCJ06,2007.9841925193264,OUT045
FDD36,1944.5868112202897,OUT035
FDY25,3099.4229142009053,OUT045
FDU52,2461.9949119574712,OUT046
DRK47,3820.347180338814,OUT017
NCL30,2017.6176650203013,OUT017
FDN22,3918.9410311390825,OUT035
NCF30,3001.2899303734057,OUT027
FDK03,4199.3778074033735,OUT035
FDT45,888.0522576756605,OUT017
